,custom_key,rider_bike_curr_elo,rider_bike_new_elo,rider_track_curr_elo,rider_track_new_elo,track_rider_bike_curr_elo,track_rider_bike_new_elo,track_bike_curr_elo,track_bike_new_elo,season,race_num,track,rider,pos,simple_avg_curr_elo,rider_bike_curr_elo**2,curr_elo_rank,error_diff
56,2013.3.jerez.Aleix ESPARGARO.9,984.5471914319264,983.3953508974323,999.0,996.706075122273,999.0,996.7361085091406,999.0,996.7421151865141,2013,3,jerez,Aleix ESPARGARO,9,995.3867978579816,,12,3
57,2013.3.jerez.Bradley SMITH.10,968.9557914955861,965.128524199271,999.0,992.9801156979125,1001.0,994.8719955051891,1001.0,994.8780021825627,2013,3,jerez,Bradley SMITH,10,992.4889478738966,,14,4
58,2013.3.jerez.Michele PIRRO.11,999.0,990.0395758195295,999.0,989.8751495109453,999.0,989.905182897813,999.0,989.9111895751865,2013,3,jerez,Michele PIRRO,11,999.0,,10,1
59,2013.3.jerez.Hector BARBERA.12,968.4309798332085,958.9465159284888,999.0,987.2876776884727,1001.0,989.1795574957495,999.0,987.323717752714,2013,3,jerez,Hector BARBERA,12,991.8577449583022,,15,3
60,2013.3.jerez.Michael LAVERTY.13,963.2968901366168,952.0004387600662,999.0,985.1314511697457,999.0,985.1614845566132,1001.0,987.0293376543958,2013,3,jerez,Michael LAVERTY,13,990.5742225341542,,18,5
61,2013.3.jerez.Danilo PETRUCCI.14,958.6405938146438,945.8585974684472,1001.0,985.1964421578821,999.0,983.3646291243406,1001.0,985.2324822221232,2013,3,jerez,Danilo PETRUCCI,14,989.9101484536609,,20,6
62,2013.3.jerez.Colin EDWARDS.15,956.8257457578262,942.6674539330813,999.0,981.8372162105792,999.0,981.8672495974467,1001.0,983.7351026952293,2013,3,jerez,Colin EDWARDS,15,988.9564364394565,,23,8
63,2013.3.jerez.Bryan STARING.16,958.3705926752383,942.8614239468902,1001.0,982.4512463585767,1001.0,982.4812797454442,1001.0,982.4872864228178,2013,3,jerez,Bryan STARING,16,990.3426481688095,,21,5
64,2013.3.jerez.Claudio CORTI.17,961.5832772321144,944.8196009808361,999.0,979.5495530444913,999.0,979.5795864313588,1001.0,981.4474395291415,2013,3,jerez,Claudio CORTI,17,990.1458193080286,,19,2
65,2013.3.jerez.Hiroshi AOYAMA.18,966.1577549314837,948.2211653500038,999.0,978.6830139664278,1001.0,980.5748937737044,999.0,978.7190540306689,2013,3,jerez,Hiroshi AOYAMA,18,991.289438732871,,17,1
